"","1.0","2.0","3.0","4.0","5.0","6.0","7.0","8.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","20.0","21.0","22.0","23.0","24.0","25.0","26.0","27.0","28.0","29.0","30.0","31.0","32.0","33.0","34.0","35.0","36.0","37.0","38.0"
"0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.0","","","","","","","","","","","","","7.0","18.0","10.0","","","","","","","","","","5.0","13.0","11.0","5.0","","","","","","","","","",""
"5.0","","","","","","","","","","","","15.0","41.0","58.0","36.0","5.0","","","","","","","","8.0","27.0","39.0","49.0","31.0","6.0","","","","","","","","",""
"6.0","","","","","","","","","","","3.0","40.0","55.0","83.0","72.0","16.0","","","","","","","","23.0","44.0","41.0","57.0","51.0","17.0","","","","","","","","",""
"7.0","","","","","","","","","","","9.0","36.0","75.0","63.0","84.0","24.0","3.0","","","","","","","47.0","61.0","56.0","53.0","38.0","19.0","","","","","","","","",""
"8.0","","","","","","","","","","","22.0","33.0","71.0","75.0","74.0","15.0","8.0","","","","","","","35.0","67.0","42.0","40.0","38.0","24.0","","","","","","","","",""
"9.0","","","","","","","","","","","24.0","28.0","45.0","59.0","39.0","4.0","","","","","","","","14.0","50.0","44.0","41.0","33.0","27.0","4.0","","","","","","","",""
"10.0","","","","","","","","","","4.0","36.0","27.0","36.0","41.0","18.0","","","","","","","","","","15.0","22.0","24.0","26.0","20.0","8.0","","","","","","","",""
"11.0","","","","","","","","","","4.0","42.0","23.0","20.0","4.0","","","","","","","","","","","","","10.0","15.0","16.0","10.0","","","","","","","",""
"12.0","","","","","","","","","8.0","16.0","50.0","22.0","11.0","","","","","","","","","","","","","","12.0","20.0","24.0","16.0","4.0","","","","","","",""
"13.0","","","","","","","","","14.0","17.0","21.0","12.0","","","","","","","","","","","","","","","6.0","16.0","31.0","17.0","14.0","","","","","","",""
"14.0","","","","","","","","","10.0","12.0","11.0","","","","","","","","","","","","","","","","3.0","14.0","26.0","17.0","10.0","","","","","","",""
"15.0","","","","","","","","3.0","13.0","9.0","10.0","","","","","","","","","","","","","","","","","7.0","34.0","16.0","15.0","","","","","","",""
"16.0","","","","","","","","5.0","8.0","","","","","","","","","","","","","","","","","","","8.0","26.0","15.0","10.0","","","","","","",""
"17.0","","","","","","","","7.0","3.0","","","","","","","","","","","","","","","","","","","","24.0","12.0","17.0","","","","","","",""
"18.0","","","","","","","5.0","15.0","11.0","","6.0","","","","","","","","","","","","","","","7.0","8.0","11.0","16.0","26.0","43.0","17.0","","","","","",""
"19.0","","","","","","","33.0","21.0","13.0","8.0","5.0","3.0","3.0","2.0","","","","","","","","","","","","","4.0","12.0","20.0","35.0","26.0","25.0","3.0","","","","",""
"20.0","","","","","","","13.0","9.0","22.0","5.0","9.0","5.0","6.0","9.0","2.0","","","","","","","","","","3.0","5.0","7.0","25.0","27.0","24.0","17.0","15.0","4.0","","","","",""
"21.0","","","","","","","","21.0","39.0","11.0","17.0","3.0","5.0","4.0","","","","","","","","","","","4.0","16.0","32.0","38.0","43.0","25.0","37.0","18.0","3.0","","","","",""
"22.0","","","","","","","","3.0","28.0","12.0","15.0","","3.0","","","","","","","","","","","","11.0","19.0","24.0","45.0","44.0","33.0","19.0","4.0","","","","","",""
"23.0","","","","","","","","","4.0","3.0","5.0","","","","","","","","","","","","","","5.0","7.0","8.0","18.0","22.0","20.0","4.0","","","","","","",""
"24.0","","","","","","","","","6.0","","","","","","","","","","","","","","","","","","","5.0","8.0","4.0","","","","","","","",""
"25.0","","","","","","","6.0","","","6.0","10.0","","8.0","","","","","","","","","","","","23.0","","","","","","5.0","5.0","","","","","",""
"26.0","","","","","","","","","","4.0","","","3.0","","","","","","","","","","","","3.0","","","","","","","","","","","","",""
"27.0","","","","","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
